Iteration	Posterior	Likelihood	Prior	bd
0	-518.7085	0	-518.7085	[ [ 22.1902, 0.3512 ] ,
  [ 11.6094, 0.0000 ] ,
  [ 7.7938, 0.0000 ] ,
  [ 3.3792, 0.0000 ] ,
  [ 7.7026, 0.0000 ] ,
  [ 8.6597, 0.0000 ] ,
  [ 8.1517, 0.0000 ] ,
  [ 9.8306, 0.0000 ] ,
  [ 13.7371, 0.0000 ] ,
  [ 17.3080, 5.6206 ] ,
  [ 10.6907, 0.0000 ] ,
  [ 8.7744, 0.0000 ] ,
  [ 6.2376, 0.0000 ] ,
  [ 11.6962, 0.0000 ] ,
  [ 14.1431, 0.0000 ] ,
  [ 14.5199, 2.0858 ] ,
  [ 12.6308, 0.0000 ] ,
  [ 16.7007, 3.5103 ] ,
  [ 7.9696, 0.0000 ] ,
  [ 11.8485, 0.0000 ] ,
  [ 3.7039, 0.0000 ] ,
  [ 10.5613, 0.0000 ] ,
  [ 7.4525, 0.0000 ] ,
  [ 12.0240, 0.0000 ] ,
  [ 6.9669, 0.6399 ] ,
  [ 16.9407, 3.3781 ] ,
  [ 10.1042, 0.0000 ] ,
  [ 9.9786, 0.0000 ] ,
  [ 8.8090, 0.0000 ] ]
10000	-43.27836	0	-43.27836	[ [ 14.8488, 1.1743 ] ,
  [ 2.9363, 0.0000 ] ,
  [ 3.0450, 0.0000 ] ,
  [ 1.6218, 0.0000 ] ,
  [ 0.2530, 0.0000 ] ,
  [ 3.1775, 0.0000 ] ,
  [ 2.5492, 0.0000 ] ,
  [ 0.7794, 0.0000 ] ,
  [ 2.4945, 0.0000 ] ,
  [ 15.6267, 8.5518 ] ,
  [ 4.4555, 0.0000 ] ,
  [ 3.0233, 0.0000 ] ,
  [ 1.1977, 0.0000 ] ,
  [ 3.8991, 0.0000 ] ,
  [ 1.5080, 0.0000 ] ,
  [ 0.8126, 0.0206 ] ,
  [ 0.7463, 0.0000 ] ,
  [ 6.4094, 5.0437 ] ,
  [ 2.2288, 0.0000 ] ,
  [ 2.9285, 0.0000 ] ,
  [ 1.1706, 0.0000 ] ,
  [ 0.7880, 0.0000 ] ,
  [ 4.1620, 0.0000 ] ,
  [ 2.9522, 0.0000 ] ,
  [ 4.0990, 0.2663 ] ,
  [ 5.4727, 2.3026 ] ,
  [ 4.7656, 0.0000 ] ,
  [ 1.8551, 0.0000 ] ,
  [ 1.4786, 0.0000 ] ]
20000	-25.28535	0	-25.28535	[ [ 8.3774, 0.5847 ] ,
  [ 1.2744, 0.0000 ] ,
  [ 1.1054, 0.0000 ] ,
  [ 0.3231, 0.0000 ] ,
  [ 2.6410, 0.0000 ] ,
  [ 3.2881, 0.0000 ] ,
  [ 1.1429, 0.0000 ] ,
  [ 3.0624, 0.0000 ] ,
  [ 4.7441, 0.0000 ] ,
  [ 9.1854, 8.4394 ] ,
  [ 1.7402, 0.0000 ] ,
  [ 1.6807, 0.0000 ] ,
  [ 1.3958, 0.0000 ] ,
  [ 3.1798, 0.0000 ] ,
  [ 0.4519, 0.0000 ] ,
  [ 4.1780, 0.4987 ] ,
  [ 1.6432, 0.0000 ] ,
  [ 7.4145, 4.0990 ] ,
  [ 3.2099, 0.0000 ] ,
  [ 2.6957, 0.0000 ] ,
  [ 2.2780, 0.0000 ] ,
  [ 0.7206, 0.0000 ] ,
  [ 2.0690, 0.0000 ] ,
  [ 1.2466, 0.0000 ] ,
  [ 3.5963, 0.6356 ] ,
  [ 5.6056, 2.7133 ] ,
  [ 0.5760, 0.0000 ] ,
  [ 3.6808, 0.0000 ] ,
  [ 0.8750, 0.0000 ] ]
30000	-11.32072	0	-11.32072	[ [ 9.4143, 2.3686 ] ,
  [ 1.2174, 0.0000 ] ,
  [ 0.3099, 0.0000 ] ,
  [ 0.4791, 0.0000 ] ,
  [ 3.7327, 0.0000 ] ,
  [ 0.4439, 0.0000 ] ,
  [ 0.2184, 0.0000 ] ,
  [ 1.1495, 0.0000 ] ,
  [ 3.6091, 0.0000 ] ,
  [ 11.5089, 7.1260 ] ,
  [ 1.1518, 0.0000 ] ,
  [ 3.2787, 0.0000 ] ,
  [ 0.9648, 0.0000 ] ,
  [ 2.9810, 0.0000 ] ,
  [ 2.2846, 0.0000 ] ,
  [ 3.7014, 2.6980 ] ,
  [ 0.9000, 0.0000 ] ,
  [ 7.6506, 5.7371 ] ,
  [ 1.0877, 0.0000 ] ,
  [ 2.8519, 0.0000 ] ,
  [ 1.3124, 0.0000 ] ,
  [ 0.4900, 0.0000 ] ,
  [ 3.2013, 0.0000 ] ,
  [ 1.3269, 0.0000 ] ,
  [ 3.7565, 0.6760 ] ,
  [ 7.6165, 1.4494 ] ,
  [ 2.7009, 0.0000 ] ,
  [ 2.2766, 0.0000 ] ,
  [ 1.2772, 0.0000 ] ]
40000	-20.07144	0	-20.07144	[ [ 9.4124, 2.4045 ] ,
  [ 2.3285, 0.0000 ] ,
  [ 2.6622, 0.0000 ] ,
  [ 2.0860, 0.0000 ] ,
  [ 1.0038, 0.0000 ] ,
  [ 2.3507, 0.0000 ] ,
  [ 0.9641, 0.0000 ] ,
  [ 2.0711, 0.0000 ] ,
  [ 3.0010, 0.0000 ] ,
  [ 10.6869, 2.8230 ] ,
  [ 1.3257, 0.0000 ] ,
  [ 1.7584, 0.0000 ] ,
  [ 1.2038, 0.0000 ] ,
  [ 1.6741, 0.0000 ] ,
  [ 0.4291, 0.0000 ] ,
  [ 2.9092, 1.5975 ] ,
  [ 2.8114, 0.0000 ] ,
  [ 5.6592, 2.1974 ] ,
  [ 0.5049, 0.0000 ] ,
  [ 2.3449, 0.0000 ] ,
  [ 1.4512, 0.0000 ] ,
  [ 2.1494, 0.0000 ] ,
  [ 0.5097, 0.0000 ] ,
  [ 2.2755, 0.0000 ] ,
  [ 3.2544, 0.1065 ] ,
  [ 4.8988, 1.8641 ] ,
  [ 0.3634, 0.0000 ] ,
  [ 2.9123, 0.0000 ] ,
  [ 1.2725, 0.0000 ] ]
50000	-13.82533	0	-13.82533	[ [ 8.1020, 2.3260 ] ,
  [ 1.5017, 0.0000 ] ,
  [ 1.2141, 0.0000 ] ,
  [ 2.9566, 0.0000 ] ,
  [ 0.2666, 0.0000 ] ,
  [ 0.7439, 0.0000 ] ,
  [ 1.6308, 0.0000 ] ,
  [ 1.8148, 0.0000 ] ,
  [ 1.3712, 0.0000 ] ,
  [ 10.7580, 3.3615 ] ,
  [ 1.5512, 0.0000 ] ,
  [ 1.8114, 0.0000 ] ,
  [ 0.6657, 0.0000 ] ,
  [ 2.3690, 0.0000 ] ,
  [ 2.5869, 0.0000 ] ,
  [ 1.4993, 0.3667 ] ,
  [ 2.6416, 0.0000 ] ,
  [ 6.4870, 4.3517 ] ,
  [ 2.8976, 0.0000 ] ,
  [ 1.8497, 0.0000 ] ,
  [ 1.2407, 0.0000 ] ,
  [ 2.8471, 0.0000 ] ,
  [ 2.0330, 0.0000 ] ,
  [ 1.9962, 0.0000 ] ,
  [ 5.1232, 1.5540 ] ,
  [ 6.7340, 2.1800 ] ,
  [ 0.9292, 0.0000 ] ,
  [ 0.3859, 0.0000 ] ,
  [ 1.3468, 0.0000 ] ]
60000	-19.14444	0	-19.14444	[ [ 8.3530, 1.3528 ] ,
  [ 0.6578, 0.0000 ] ,
  [ 2.4782, 0.0000 ] ,
  [ 1.4857, 0.0000 ] ,
  [ 0.9899, 0.0000 ] ,
  [ 1.3522, 0.0000 ] ,
  [ 2.8216, 0.0000 ] ,
  [ 1.1786, 0.0000 ] ,
  [ 1.8017, 0.0000 ] ,
  [ 11.5857, 7.9014 ] ,
  [ 2.3048, 0.0000 ] ,
  [ 2.7958, 0.0000 ] ,
  [ 3.7301, 0.0000 ] ,
  [ 1.0789, 0.0000 ] ,
  [ 3.5867, 0.0000 ] ,
  [ 1.6686, 1.0922 ] ,
  [ 1.8773, 0.0000 ] ,
  [ 7.0931, 5.3204 ] ,
  [ 2.0232, 0.0000 ] ,
  [ 1.5066, 0.0000 ] ,
  [ 0.3562, 0.0000 ] ,
  [ 1.6802, 0.0000 ] ,
  [ 3.3101, 0.0000 ] ,
  [ 1.3614, 0.0000 ] ,
