Iteration	Posterior	Likelihood	Prior	bd
0	-111.2245	0	-111.2245	[ [ 19.2110, 1.5710 ] ,
  [ 16.5629, 0.0000 ] ,
  [ 11.1515, 4.3671 ] ,
  [ 25.5159, 5.4810 ] ,
  [ 19.0780, 0.0000 ] ,
  [ 20.1153, 6.1869 ] ,
  [ 2.2718, 0.0000 ] ,
  [ 6.4855, 0.0000 ] ,
  [ 12.6400, 0.0000 ] ,
  [ 13.7481, 0.0000 ] ]
10000	-29.47689	0	-29.47689	[ [ 9.5986, 4.0890 ] ,
  [ 5.3111, 0.0000 ] ,
  [ 7.4176, 3.7539 ] ,
  [ 10.1722, 5.4455 ] ,
  [ 6.4174, 0.0000 ] ,
  [ 4.9126, 2.9125 ] ,
  [ 2.0733, 0.0000 ] ,
  [ 1.0988, 0.0000 ] ,
  [ 5.0217, 0.0000 ] ,
  [ 0.0842, 0.0000 ] ]
20000	-33.21058	0	-33.21058	[ [ 11.3067, 4.9901 ] ,
  [ 1.3233, 0.0000 ] ,
  [ 6.5574, 5.8169 ] ,
  [ 17.2724, 6.3122 ] ,
  [ 4.9408, 0.0000 ] ,
  [ 5.8236, 4.9869 ] ,
  [ 3.2722, 0.0000 ] ,
  [ 1.3364, 0.0000 ] ,
  [ 2.0554, 0.0000 ] ,
  [ 2.4922, 0.0000 ] ]
30000	-28.03997	0	-28.03997	[ [ 9.0226, 3.3760 ] ,
  [ 3.8546, 0.0000 ] ,
  [ 8.6100, 6.6688 ] ,
  [ 12.5753, 4.9935 ] ,
  [ 7.4017, 0.0000 ] ,
  [ 7.2236, 5.3743 ] ,
  [ 3.7489, 0.0000 ] ,
  [ 0.7788, 0.0000 ] ,
  [ 0.5658, 0.0000 ] ,
  [ 3.4481, 0.0000 ] ]
40000	-34.49105	0	-34.49105	[ [ 10.9730, 7.3449 ] ,
  [ 2.2807, 0.0000 ] ,
  [ 8.4445, 1.6814 ] ,
  [ 11.0795, 4.1273 ] ,
  [ 5.9702, 0.0000 ] ,
  [ 6.0092, 3.1811 ] ,
  [ 3.9563, 0.0000 ] ,
  [ 3.7846, 0.0000 ] ,
  [ 2.0543, 0.0000 ] ,
  [ 4.3664, 0.0000 ] ]
50000	-29.53235	0	-29.53235	[ [ 11.6594, 6.8280 ] ,
  [ 1.6352, 0.0000 ] ,
  [ 5.3800, 4.4963 ] ,
  [ 10.1026, 6.6198 ] ,
  [ 8.3289, 0.0000 ] ,
  [ 7.8358, 4.8914 ] ,
  [ 3.2304, 0.0000 ] ,
  [ 2.7072, 0.0000 ] ,
  [ 4.9908, 0.0000 ] ,
  [ 0.4749, 0.0000 ] ]
60000	-29.95393	0	-29.95393	[ [ 10.7973, 3.2150 ] ,
  [ 1.9858, 0.0000 ] ,
  [ 8.3898, 6.2017 ] ,
  [ 11.2010, 7.4353 ] ,
  [ 7.8235, 0.0000 ] ,
  [ 7.4805, 5.6007 ] ,
  [ 4.0477, 0.0000 ] ,
  [ 2.3818, 0.0000 ] ,
  [ 5.8607, 0.0000 ] ,
  [ 1.9337, 0.0000 ] ]
70000	-32.41271	0	-32.41271	[ [ 9.5855, 5.8800 ] ,
  [ 2.0901, 0.0000 ] ,
  [ 7.4648, 5.3577 ] ,
  [ 12.2759, 7.5996 ] ,
  [ 8.5976, 0.0000 ] ,
  [ 7.2925, 4.5216 ] ,
  [ 2.1321, 0.0000 ] ,
  [ 4.1656, 0.0000 ] ,
  [ 4.7662, 0.0000 ] ,
  [ 4.4678, 0.0000 ] ]
80000	-38.5178	0	-38.5178	[ [ 14.0009, 3.7650 ] ,
  [ 4.6771, 0.0000 ] ,
  [ 8.7480, 5.8053 ] ,
  [ 11.0592, 7.0026 ] ,
