Iteration	Posterior	Likelihood	Prior	bd
0	-215.3016	0	-215.3016	[ [ 20.7142, 1.9292 ] ,
  [ 22.3228, 0.0000 ] ,
  [ 20.6408, 0.0000 ] ,
  [ 24.8237, 0.0000 ] ,
  [ 20.3917, 7.7596 ] ,
  [ 14.6782, 3.9296 ] ,
  [ 12.3048, 0.0000 ] ,
  [ 24.2937, 2.3888 ] ,
  [ 20.2922, 0.0018 ] ,
  [ 16.7459, 0.0000 ] ,
  [ 22.8662, 3.5336 ] ,
  [ 15.8508, 0.0000 ] ,
  [ 7.2492, 0.0000 ] ,
  [ 21.5344, 6.0150 ] ,
  [ 17.6180, 0.0000 ] ]
10000	-55.36661	0	-55.36661	[ [ 13.2103, 5.4297 ] ,
  [ 5.7692, 0.0000 ] ,
  [ 6.3308, 0.0000 ] ,
  [ 12.8750, 0.0000 ] ,
  [ 9.6038, 5.3039 ] ,
  [ 6.6842, 5.0035 ] ,
  [ 4.9946, 0.0000 ] ,
  [ 12.1377, 3.1944 ] ,
  [ 6.9319, 4.1447 ] ,
  [ 5.0484, 0.0000 ] ,
  [ 12.6841, 5.0161 ] ,
  [ 10.1939, 0.0000 ] ,
  [ 1.9777, 0.0000 ] ,
  [ 6.4034, 4.2835 ] ,
  [ 7.7424, 0.0000 ] ]
20000	-59.41269	0	-59.41269	[ [ 9.8099, 5.6813 ] ,
  [ 7.6258, 0.0000 ] ,
  [ 5.4582, 0.0000 ] ,
  [ 12.8557, 0.0000 ] ,
  [ 6.6075, 4.4652 ] ,
  [ 7.3105, 5.7053 ] ,
  [ 3.6736, 0.0000 ] ,
  [ 12.4697, 2.1969 ] ,
  [ 7.0238, 2.8466 ] ,
  [ 9.0557, 0.0000 ] ,
  [ 12.1109, 3.4186 ] ,
  [ 8.8262, 0.0000 ] ,
  [ 3.9229, 0.0000 ] ,
  [ 6.3924, 3.4583 ] ,
  [ 10.7499, 0.0000 ] ]
30000	-60.271	0	-60.271	[ [ 10.9143, 6.5990 ] ,
  [ 8.4336, 0.0000 ] ,
  [ 5.6879, 0.0000 ] ,
  [ 11.5200, 0.0000 ] ,
  [ 11.7742, 5.8371 ] ,
  [ 11.0152, 3.3038 ] ,
  [ 2.0254, 0.0000 ] ,
  [ 10.1693, 0.7950 ] ,
  [ 9.0791, 6.9635 ] ,
  [ 7.1923, 0.0000 ] ,
  [ 11.9253, 3.2384 ] ,
  [ 6.7322, 0.0000 ] ,
  [ 1.5408, 0.0000 ] ,
  [ 9.9806, 8.2872 ] ,
  [ 7.0387, 0.0000 ] ]
40000	-57.6817	0	-57.6817	[ [ 9.5016, 4.3316 ] ,
  [ 6.8950, 0.0000 ] ,
  [ 9.4639, 0.0000 ] ,
  [ 12.7950, 0.0000 ] ,
  [ 8.2160, 3.6120 ] ,
  [ 9.3343, 4.5968 ] ,
  [ 3.4905, 0.0000 ] ,
  [ 16.9271, 1.4705 ] ,
  [ 8.8413, 6.1745 ] ,
  [ 7.3562, 0.0000 ] ,
  [ 9.8408, 7.3620 ] ,
  [ 10.2103, 0.0000 ] ,
  [ 1.5194, 0.0000 ] ,
  [ 5.6597, 5.0511 ] ,
  [ 5.9527, 0.0000 ] ]
50000	-42.98093	0	-42.98093	[ [ 10.6107, 5.9187 ] ,
  [ 6.6023, 0.0000 ] ,
  [ 5.5005, 0.0000 ] ,
  [ 12.0154, 0.0000 ] ,
  [ 8.4458, 7.2701 ] ,
  [ 7.3880, 6.1609 ] ,
  [ 2.3728, 0.0000 ] ,
  [ 10.7180, 1.0091 ] ,
  [ 7.5382, 6.4587 ] ,
  [ 5.8756, 0.0000 ] ,
  [ 10.8997, 4.6452 ] ,
  [ 5.0259, 0.0000 ] ,
  [ 4.4969, 0.0000 ] ,
  [ 7.1916, 5.3577 ] ,
  [ 6.4586, 0.0000 ] ]
60000	-57.08392	0	-57.08392	[ [ 13.9819, 6.8489 ] ,
  [ 8.5397, 0.0000 ] ,
  [ 4.8668, 0.0000 ] ,
  [ 12.8392, 0.0000 ] ,
  [ 14.6483, 4.7440 ] ,
  [ 5.5632, 5.0819 ] ,
  [ 2.3416, 0.0000 ] ,
  [ 12.9448, 0.5292 ] ,
  [ 7.0894, 3.3362 ] ,
  [ 7.2334, 0.0000 ] ,
  [ 9.8512, 5.0418 ] ,
  [ 6.4630, 0.0000 ] ,
  [ 2.8889, 0.0000 ] ,
  [ 8.7422, 8.0222 ] ,
  [ 6.0875, 0.0000 ] ]
70000	-56.51933	0	-56.51933	[ [ 9.1477, 6.0026 ] ,
  [ 9.5130, 0.0000 ] ,
  [ 5.3586, 0.0000 ] ,
  [ 11.1064, 0.0000 ] ,
  [ 10.0922, 3.9905 ] ,
  [ 9.3917, 3.6540 ] ,
  [ 4.1522, 0.0000 ] ,
  [ 10.9340, 0.6951 ] ,
  [ 8.8312, 6.1758 ] ,
  [ 5.9705, 0.0000 ] ,
  [ 9.2195, 0.5411 ] ,
  [ 8.0128, 0.0000 ] ,
  [ 2.1781, 0.0000 ] ,
  [ 9.1323, 7.6599 ] ,
