Iteration	Posterior	Likelihood	Prior	bd
0	-193.4418	0	-193.4418	[ [ 20.8725, 0.0000 ] ,
  [ 7.0394, 0.3681 ] ,
  [ 11.8216, 1.5265 ] ,
  [ 17.9784, 4.3648 ] ,
  [ 20.8015, 4.8644 ] ,
  [ 15.8161, 0.0000 ] ,
  [ 11.4595, 0.0000 ] ,
  [ 9.2855, 0.6686 ] ,
  [ 12.9444, 0.0000 ] ,
  [ 9.7127, 0.0000 ] ,
  [ 21.1018, 1.5969 ] ,
  [ 15.9262, 0.0000 ] ,
  [ 16.5044, 0.0000 ] ,
  [ 16.3163, 0.0000 ] ,
  [ 3.5348, 0.0000 ] ,
  [ 8.1513, 2.1001 ] ,
  [ 4.0124, 0.8313 ] ,
  [ 15.3484, 0.0000 ] ]
10000	-57.98763	0	-57.98763	[ [ 9.3481, 0.0000 ] ,
  [ 3.4006, 2.0478 ] ,
  [ 3.5005, 1.3310 ] ,
  [ 7.7397, 5.7035 ] ,
  [ 10.2925, 5.3925 ] ,
  [ 4.4086, 0.0000 ] ,
  [ 3.9941, 0.0000 ] ,
  [ 6.1538, 1.0434 ] ,
  [ 5.2427, 0.0000 ] ,
  [ 0.8799, 0.0000 ] ,
  [ 7.9588, 1.6995 ] ,
  [ 4.8099, 0.0000 ] ,
  [ 4.7092, 0.0000 ] ,
  [ 8.2394, 0.0000 ] ,
  [ 3.0800, 0.0000 ] ,
  [ 7.1364, 4.7424 ] ,
  [ 3.6149, 1.3708 ] ,
  [ 8.3807, 0.0000 ] ]
20000	-65.12523	0	-65.12523	[ [ 9.8857, 0.0000 ] ,
  [ 2.2078, 0.4002 ] ,
  [ 3.3678, 0.8864 ] ,
  [ 8.4000, 4.1151 ] ,
  [ 10.4858, 5.8855 ] ,
  [ 5.9749, 0.0000 ] ,
  [ 7.6843, 0.0000 ] ,
  [ 7.2119, 0.7708 ] ,
  [ 7.3104, 0.0000 ] ,
  [ 3.9679, 0.0000 ] ,
  [ 7.0577, 3.0024 ] ,
  [ 4.8553, 0.0000 ] ,
  [ 8.8414, 0.0000 ] ,
  [ 7.0931, 0.0000 ] ,
  [ 0.9385, 0.0000 ] ,
  [ 5.6532, 3.8309 ] ,
  [ 3.8471, 1.8191 ] ,
  [ 12.7337, 0.0000 ] ]
30000	-70.60524	0	-70.60524	[ [ 8.5765, 0.0000 ] ,
  [ 6.5358, 1.4603 ] ,
  [ 1.1081, 0.3499 ] ,
  [ 9.8587, 6.5332 ] ,
  [ 9.3269, 4.6780 ] ,
  [ 5.2971, 0.0000 ] ,
  [ 5.6974, 0.0000 ] ,
  [ 5.1497, 2.5112 ] ,
  [ 7.9967, 0.0000 ] ,
  [ 6.4120, 0.0000 ] ,
  [ 10.8274, 2.5773 ] ,
  [ 5.0107, 0.0000 ] ,
  [ 5.0746, 0.0000 ] ,
  [ 5.1018, 0.0000 ] ,
  [ 8.3681, 0.0000 ] ,
  [ 6.0932, 4.0717 ] ,
  [ 4.1626, 0.1405 ] ,
  [ 8.7575, 0.0000 ] ]
40000	-62.8502	0	-62.8502	[ [ 11.9713, 0.0000 ] ,
  [ 0.8918, 0.0256 ] ,
  [ 2.8103, 2.0144 ] ,
  [ 7.3860, 5.6842 ] ,
  [ 8.9056, 4.7248 ] ,
  [ 6.6201, 0.0000 ] ,
  [ 4.9926, 0.0000 ] ,
  [ 6.8763, 3.2932 ] ,
  [ 6.1595, 0.0000 ] ,
  [ 3.6135, 0.0000 ] ,
  [ 8.2611, 0.4526 ] ,
  [ 4.8603, 0.0000 ] ,
  [ 5.1849, 0.0000 ] ,
  [ 6.1091, 0.0000 ] ,
  [ 4.9036, 0.0000 ] ,
  [ 6.9442, 4.7934 ] ,
  [ 2.0769, 0.7513 ] ,
  [ 12.4584, 0.0000 ] ]
50000	-54.64	0	-54.64	[ [ 8.1072, 0.0000 ] ,
  [ 3.3035, 1.5086 ] ,
  [ 2.9552, 0.9922 ] ,
