Iteration	Posterior	Likelihood	Prior	bd
0	-97.88535	0	-97.88535	[ [ 24.3807, 0.0000 ] ,
  [ 8.4743, 0.0000 ] ,
  [ 15.4179, 0.0000 ] ,
  [ 17.3541, 0.0000 ] ,
  [ 18.4874, 0.0000 ] ,
  [ 8.7436, 0.0000 ] ,
  [ 11.3460, 0.0000 ] ,
  [ 12.6457, 0.0000 ] ,
  [ 18.1989, 0.0000 ] ,
  [ 10.3644, 0.0000 ] ]
10000	-29.2128	0	-29.2128	[ [ 8.6543, 0.0000 ] ,
  [ 5.4317, 0.0000 ] ,
  [ 7.7565, 0.0000 ] ,
  [ 6.2210, 0.0000 ] ,
  [ 7.3652, 0.0000 ] ,
  [ 2.3327, 0.0000 ] ,
  [ 5.1315, 0.0000 ] ,
  [ 6.3003, 0.0000 ] ,
  [ 5.4222, 0.0000 ] ,
  [ 6.5103, 0.0000 ] ]
20000	-30.14379	0	-30.14379	[ [ 11.0758, 0.0000 ] ,
  [ 2.9695, 0.0000 ] ,
  [ 7.1377, 0.0000 ] ,
  [ 6.9899, 0.0000 ] ,
  [ 8.0945, 0.0000 ] ,
  [ 4.8105, 0.0000 ] ,
  [ 8.0440, 0.0000 ] ,
  [ 8.4829, 0.0000 ] ,
  [ 6.0525, 0.0000 ] ,
  [ 1.5422, 0.0000 ] ]
30000	-36.01953	0	-36.01953	[ [ 10.9735, 0.0000 ] ,
  [ 6.6167, 0.0000 ] ,
  [ 7.8671, 0.0000 ] ,
  [ 6.5292, 0.0000 ] ,
  [ 7.5681, 0.0000 ] ,
  [ 5.8839, 0.0000 ] ,
  [ 8.3644, 0.0000 ] ,
  [ 6.2182, 0.0000 ] ,
  [ 7.8106, 0.0000 ] ,
  [ 2.0092, 0.0000 ] ]
40000	-31.55602	0	-31.55602	[ [ 10.6021, 0.0000 ] ,
  [ 5.0091, 0.0000 ] ,
  [ 4.8678, 0.0000 ] ,
  [ 5.3574, 0.0000 ] ,
  [ 4.4165, 0.0000 ] ,
  [ 2.6125, 0.0000 ] ,
  [ 5.5707, 0.0000 ] ,
  [ 8.4591, 0.0000 ] ,
  [ 5.1237, 0.0000 ] ,
  [ 5.7589, 0.0000 ] ]
50000	-34.66702	0	-34.66702	[ [ 11.5793, 0.0000 ] ,
  [ 2.2388, 0.0000 ] ,
  [ 6.5599, 0.0000 ] ,
  [ 6.2830, 0.0000 ] ,
  [ 4.7060, 0.0000 ] ,
  [ 3.8120, 0.0000 ] ,
  [ 5.0701, 0.0000 ] ,
  [ 6.2076, 0.0000 ] ,
  [ 10.9934, 0.0000 ] ,
  [ 4.3191, 0.0000 ] ]
60000	-28.10984	0	-28.10984	[ [ 13.4498, 0.0000 ] ,
  [ 4.1966, 0.0000 ] ,
  [ 6.0612, 0.0000 ] ,
  [ 5.6181, 0.0000 ] ,
  [ 5.0796, 0.0000 ] ,
  [ 3.8049, 0.0000 ] ,
  [ 6.4365, 0.0000 ] ,
  [ 4.9088, 0.0000 ] ,
  [ 5.6942, 0.0000 ] ,
  [ 4.7673, 0.0000 ] ]
70000	-29.36677	0	-29.36677	[ [ 10.0760, 0.0000 ] ,
  [ 5.1499, 0.0000 ] ,
  [ 5.9178, 0.0000 ] ,
  [ 8.1586, 0.0000 ] ,
  [ 6.1497, 0.0000 ] ,
  [ 3.6642, 0.0000 ] ,
  [ 4.5950, 0.0000 ] ,
  [ 7.2152, 0.0000 ] ,
  [ 5.4363, 0.0000 ] ,
  [ 2.4905, 0.0000 ] ]
80000	-33.16357	0	-33.16357	[ [ 14.6784, 0.0000 ] ,
  [ 3.8745, 0.0000 ] ,
  [ 7.8148, 0.0000 ] ,
  [ 5.3256, 0.0000 ] ,
  [ 6.9416, 0.0000 ] ,
  [ 4.8691, 0.0000 ] ,
  [ 6.3871, 0.0000 ] ,
  [ 6.5961, 0.0000 ] ,
  [ 9.3904, 0.0000 ] ,
  [ 3.5663, 0.0000 ] ]
90000	-34.49299	0	-34.49299	[ [ 10.2350, 0.0000 ] ,
  [ 0.9261, 0.0000 ] ,
  [ 6.3138, 0.0000 ] ,
  [ 6.9365, 0.0000 ] ,
  [ 16.5914, 0.0000 ] ,
  [ 4.8855, 0.0000 ] ,
  [ 6.7783, 0.0000 ] ,
  [ 6.6488, 0.0000 ] ,
  [ 5.0555, 0.0000 ] ,
  [ 0.8814, 0.0000 ] ]
100000	-26.25046	0	-26.25046	[ [ 8.4690, 0.0000 ] ,
  [ 1.6105, 0.0000 ] ,
  [ 6.4876, 0.0000 ] ,
  [ 4.9899, 0.0000 ] ,
  [ 5.1188, 0.0000 ] ,
  [ 8.1252, 0.0000 ] ,
  [ 5.3117, 0.0000 ] ,
  [ 5.3366, 0.0000 ] ,
  [ 5.4072, 0.0000 ] ,
  [ 1.4469, 0.0000 ] ]
110000	-28.53566	0	-28.53566	[ [ 11.7302, 0.0000 ] ,
  [ 5.0768, 0.0000 ] ,
  [ 6.3337, 0.0000 ] ,
  [ 8.0515, 0.0000 ] ,
  [ 7.3215, 0.0000 ] ,
  [ 2.5991, 0.0000 ] ,
  [ 6.1524, 0.0000 ] ,
  [ 6.0715, 0.0000 ] ,
  [ 6.0688, 0.0000 ] ,
  [ 4.6880, 0.0000 ] ]
120000	-34.17274	0	-34.17274	[ [ 12.1700, 0.0000 ] ,
  [ 4.5553, 0.0000 ] ,
  [ 5.9897, 0.0000 ] ,
  [ 5.6392, 0.0000 ] ,
  [ 10.6894, 0.0000 ] ,
  [ 4.4280, 0.0000 ] ,
  [ 7.7561, 0.0000 ] ,
  [ 7.2552, 0.0000 ] ,
  [ 5.4516, 0.0000 ] ,
  [ 6.9003, 0.0000 ] ]
130000	-30.64102	0	-30.64102	[ [ 11.3144, 0.0000 ] ,
  [ 4.2498, 0.0000 ] ,
  [ 5.0610, 0.0000 ] ,
  [ 6.8063, 0.0000 ] ,
  [ 6.0010, 0.0000 ] ,
  [ 1.8230, 0.0000 ] ,
  [ 7.9489, 0.0000 ] ,
  [ 7.4356, 0.0000 ] ,
  [ 7.3987, 0.0000 ] ,
  [ 1.2418, 0.0000 ] ]
140000	-27.17769	0	-27.17769	[ [ 8.8795, 0.0000 ] ,
  [ 0.0578, 0.0000 ] ,
  [ 5.7053, 0.0000 ] ,
  [ 6.2384, 0.0000 ] ,
  [ 4.6697, 0.0000 ] ,
  [ 1.0984, 0.0000 ] ,
  [ 5.7706, 0.0000 ] ,
  [ 8.6770, 0.0000 ] ,
  [ 6.6563, 0.0000 ] ,
  [ 1.7911, 0.0000 ] ]
150000	-25.80049	0	-25.80049	[ [ 9.3786, 0.0000 ] ,
  [ 4.2628, 0.0000 ] ,
  [ 6.5891, 0.0000 ] ,
  [ 5.2331, 0.0000 ] ,
  [ 6.4407, 0.0000 ] ,
  [ 1.1003, 0.0000 ] ,
  [ 7.7579, 0.0000 ] ,
  [ 7.7965, 0.0000 ] ,
  [ 8.7756, 0.0000 ] ,
  [ 1.4325, 0.0000 ] ]
160000	-31.56721	0	-31.56721	[ [ 10.9112, 0.0000 ] ,
  [ 3.5704, 0.0000 ] ,
  [ 6.4446, 0.0000 ] ,
  [ 8.1401, 0.0000 ] ,
  [ 5.6064, 0.0000 ] ,
  [ 4.3475, 0.0000 ] ,
  [ 5.6142, 0.0000 ] ,
  [ 4.7497, 0.0000 ] ,
  [ 7.0611, 0.0000 ] ,
  [ 5.1484, 0.0000 ] ]
170000	-25.09704	0	-25.09704	[ [ 10.0292, 0.0000 ] ,
  [ 4.2762, 0.0000 ] ,
  [ 7.2855, 0.0000 ] ,
  [ 5.5572, 0.0000 ] ,
  [ 7.2105, 0.0000 ] ,
  [ 2.0622, 0.0000 ] ,
  [ 5.6995, 0.0000 ] ,
  [ 4.5339, 0.0000 ] ,
  [ 6.0222, 0.0000 ] ,
  [ 0.9110, 0.0000 ] ]
180000	-26.57899	0	-26.57899	[ [ 10.0309, 0.0000 ] ,
  [ 6.7763, 0.0000 ] ,
  [ 6.3644, 0.0000 ] ,
  [ 6.3118, 0.0000 ] ,
  [ 6.2445, 0.0000 ] ,
  [ 3.2284, 0.0000 ] ,
