Iteration	Posterior	Likelihood	Prior	bd
0	-186.251	0	-186.251	[ [ 16.1812, 0.0000 ] ,
  [ 8.5936, 1.4429 ] ,
  [ 13.3925, 0.0000 ] ,
  [ 17.7051, 3.0559 ] ,
  [ 18.0482, 0.0000 ] ,
  [ 19.7141, 0.0000 ] ,
  [ 13.3741, 0.0000 ] ,
  [ 14.7262, 0.0000 ] ,
  [ 10.9631, 0.6415 ] ,
  [ 13.0633, 2.4385 ] ]
10000	-29.54474	0	-29.54474	[ [ 7.6453, 0.0000 ] ,
  [ 3.0669, 2.1220 ] ,
  [ 1.0748, 0.0000 ] ,
  [ 8.5448, 4.5555 ] ,
  [ 8.7790, 0.0000 ] ,
  [ 8.8556, 0.0000 ] ,
  [ 8.4348, 0.0000 ] ,
  [ 9.7999, 0.0000 ] ,
  [ 6.9106, 3.9927 ] ,
  [ 6.9114, 4.1178 ] ]
20000	-39.69021	0	-39.69021	[ [ 7.2474, 0.0000 ] ,
  [ 3.9520, 0.0020 ] ,
  [ 4.3054, 0.0000 ] ,
  [ 9.0188, 2.7739 ] ,
  [ 11.3807, 0.0000 ] ,
  [ 10.7792, 0.0000 ] ,
  [ 6.7112, 0.0000 ] ,
  [ 7.5885, 0.0000 ] ,
  [ 4.9147, 4.3924 ] ,
  [ 7.2717, 1.3165 ] ]
30000	-33.65854	0	-33.65854	[ [ 8.2649, 0.0000 ] ,
  [ 3.1958, 2.1642 ] ,
  [ 1.4277, 0.0000 ] ,
  [ 7.4120, 4.3835 ] ,
  [ 8.2049, 0.0000 ] ,
  [ 9.9067, 0.0000 ] ,
  [ 7.3225, 0.0000 ] ,
  [ 9.8178, 0.0000 ] ,
  [ 5.5797, 3.5140 ] ,
  [ 5.8543, 3.6668 ] ]
40000	-36.34525	0	-36.34525	[ [ 9.0148, 0.0000 ] ,
  [ 2.4691, 0.2265 ] ,
  [ 1.3692, 0.0000 ] ,
  [ 9.1794, 5.0220 ] ,
  [ 10.0962, 0.0000 ] ,
  [ 11.3739, 0.0000 ] ,
  [ 5.8665, 0.0000 ] ,
  [ 11.8327, 0.0000 ] ,
  [ 6.2796, 3.8688 ] ,
  [ 6.7354, 4.7849 ] ]
50000	-35.20908	0	-35.20908	[ [ 10.6863, 0.0000 ] ,
  [ 4.6923, 1.6844 ] ,
  [ 1.1448, 0.0000 ] ,
  [ 7.9713, 5.3695 ] ,
  [ 8.1453, 0.0000 ] ,
  [ 7.4136, 0.0000 ] ,
  [ 6.0292, 0.0000 ] ,
  [ 7.2284, 0.0000 ] ,
  [ 8.1634, 6.0151 ] ,
  [ 6.5955, 4.7248 ] ]
60000	-43.91677	0	-43.91677	[ [ 10.0290, 0.0000 ] ,
  [ 4.5117, 1.7210 ] ,
  [ 4.0344, 0.0000 ] ,
  [ 9.9899, 4.0884 ] ,
  [ 9.5265, 0.0000 ] ,
  [ 9.9098, 0.0000 ] ,
  [ 7.1710, 0.0000 ] ,
  [ 11.7804, 0.0000 ] ,
  [ 6.3463, 5.3318 ] ,
  [ 10.2717, 2.7689 ] ]
70000	-38.41291	0	-38.41291	[ [ 11.0498, 0.0000 ] ,
  [ 2.9932, 1.6167 ] ,
  [ 4.1670, 0.0000 ] ,
  [ 10.0207, 5.6602 ] ,
  [ 8.2358, 0.0000 ] ,
  [ 9.8754, 0.0000 ] ,
  [ 8.1577, 0.0000 ] ,
  [ 8.6344, 0.0000 ] ,
  [ 5.5833, 3.6264 ] ,
  [ 6.4437, 4.5435 ] ]
80000	-37.50269	0	-37.50269	[ [ 7.7655, 0.0000 ] ,
  [ 2.2932, 0.0139 ] ,
  [ 4.6935, 0.0000 ] ,
  [ 10.5869, 4.2582 ] ,
  [ 10.2109, 0.0000 ] ,
  [ 8.0773, 0.0000 ] ,
  [ 4.1115, 0.0000 ] ,
  [ 9.2516, 0.0000 ] ,
  [ 8.2274, 5.2132 ] ,
  [ 6.9068, 3.4591 ] ]
90000	-38.83229	0	-38.83229	[ [ 9.3913, 0.0000 ] ,
  [ 1.0541, 0.2813 ] ,
  [ 4.0298, 0.0000 ] ,
  [ 11.0327, 4.8394 ] ,
  [ 9.4445, 0.0000 ] ,
  [ 8.2865, 0.0000 ] ,
  [ 6.0252, 0.0000 ] ,
  [ 10.6610, 0.0000 ] ,
  [ 6.3527, 4.5171 ] ,
  [ 6.7216, 4.0056 ] ]
100000	-40.52877	0	-40.52877	[ [ 13.6105, 0.0000 ] ,
  [ 3.4692, 1.8062 ] ,
  [ 4.6703, 0.0000 ] ,
  [ 9.3500, 2.9656 ] ,
  [ 9.2962, 0.0000 ] ,
  [ 9.8519, 0.0000 ] ,
  [ 4.7600, 0.0000 ] ,
  [ 11.6473, 0.0000 ] ,
  [ 5.9882, 4.3322 ] ,
  [ 6.1747, 4.5606 ] ]
110000	-40.88913	0	-40.88913	[ [ 11.3690, 0.0000 ] ,
  [ 1.9142, 0.9361 ] ,
  [ 4.0690, 0.0000 ] ,
  [ 9.0824, 5.6325 ] ,
  [ 7.4799, 0.0000 ] ,
  [ 10.0806, 0.0000 ] ,
  [ 6.3849, 0.0000 ] ,
  [ 9.4693, 0.0000 ] ,
  [ 4.2822, 1.1813 ] ,
  [ 5.7713, 0.3429 ] ]
120000	-36.07154	0	-36.07154	[ [ 7.8536, 0.0000 ] ,
  [ 1.8924, 1.0820 ] ,
  [ 0.6475, 0.0000 ] ,
  [ 8.0981, 5.1908 ] ,
  [ 8.5083, 0.0000 ] ,
  [ 7.2744, 0.0000 ] ,
  [ 9.0934, 0.0000 ] ,
  [ 7.0241, 0.0000 ] ,
  [ 6.4101, 3.8049 ] ,
  [ 7.3870, 3.2522 ] ]
130000	-35.71034	0	-35.71034	[ [ 8.8671, 0.0000 ] ,
  [ 3.8374, 2.5403 ] ,
  [ 3.7278, 0.0000 ] ,
  [ 9.5146, 2.5746 ] ,
  [ 11.1578, 0.0000 ] ,
  [ 8.1125, 0.0000 ] ,
  [ 7.0207, 0.0000 ] ,
  [ 9.4058, 0.0000 ] ,
  [ 5.5793, 4.3022 ] ,
  [ 7.6085, 3.8185 ] ]
140000	-37.20611	0	-37.20611	[ [ 8.2209, 0.0000 ] ,
  [ 1.4175, 1.3820 ] ,
  [ 1.2723, 0.0000 ] ,
  [ 8.0397, 2.9554 ] ,
  [ 8.3735, 0.0000 ] ,
  [ 9.5589, 0.0000 ] ,
