Iteration	Posterior	Likelihood	Prior	bd
0	-163.6455	0	-163.6455	[ [ 22.7057, 0.0000 ] ,
  [ 4.7211, 0.0000 ] ,
  [ 10.1652, 0.0000 ] ,
  [ 28.8183, 4.1683 ] ,
  [ 18.8173, 0.0000 ] ,
  [ 24.2087, 0.0000 ] ,
  [ 20.6253, 0.0000 ] ,
  [ 11.3220, 0.0000 ] ,
  [ 8.7539, 0.0000 ] ,
  [ 16.3233, 1.1173 ] ]
10000	-36.76451	0	-36.76451	[ [ 10.6953, 0.0000 ] ,
  [ 6.1177, 0.0000 ] ,
  [ 1.8489, 0.0000 ] ,
  [ 11.5075, 1.2398 ] ,
  [ 8.7858, 0.0000 ] ,
  [ 13.0610, 0.0000 ] ,
  [ 5.7960, 0.0000 ] ,
  [ 5.0740, 0.0000 ] ,
  [ 4.8121, 0.0000 ] ,
  [ 2.5426, 1.5491 ] ]
20000	-31.47866	0	-31.47866	[ [ 12.5834, 0.0000 ] ,
  [ 0.5477, 0.0000 ] ,
  [ 2.4689, 0.0000 ] ,
  [ 10.1514, 9.2300 ] ,
  [ 6.4310, 0.0000 ] ,
  [ 13.3328, 0.0000 ] ,
  [ 8.3656, 0.0000 ] ,
  [ 1.9319, 0.0000 ] ,
  [ 4.7764, 0.0000 ] ,
  [ 4.9314, 3.5885 ] ]
30000	-31.07806	0	-31.07806	[ [ 14.5519, 0.0000 ] ,
  [ 1.1724, 0.0000 ] ,
  [ 2.6677, 0.0000 ] ,
  [ 14.4195, 6.8770 ] ,
  [ 9.9163, 0.0000 ] ,
  [ 10.9291, 0.0000 ] ,
  [ 6.8022, 0.0000 ] ,
  [ 2.1165, 0.0000 ] ,
  [ 1.4971, 0.0000 ] ,
  [ 3.2023, 1.9072 ] ]
40000	-33.71771	0	-33.71771	[ [ 11.0370, 0.0000 ] ,
  [ 3.1282, 0.0000 ] ,
  [ 1.9337, 0.0000 ] ,
  [ 10.8995, 6.7752 ] ,
  [ 8.6866, 0.0000 ] ,
  [ 11.3187, 0.0000 ] ,
  [ 6.9905, 0.0000 ] ,
  [ 0.8787, 0.0000 ] ,
  [ 4.6229, 0.0000 ] ,
  [ 4.6444, 0.8026 ] ]
