Iteration	Posterior	Likelihood	Prior	bd
0	-233.7374	0	-233.7374	[ [ 21.2498, 5.6874 ] ,
  [ 13.8197, 0.0000 ] ,
  [ 23.2002, 0.0000 ] ,
  [ 16.1570, 0.7268 ] ,
  [ 19.9687, 0.0000 ] ,
  [ 6.6036, 0.0000 ] ,
  [ 16.3437, 0.2387 ] ,
  [ 12.8573, 0.0000 ] ,
  [ 16.1494, 0.0000 ] ,
  [ 23.7306, 4.9599 ] ,
  [ 8.0832, 0.3647 ] ,
  [ 18.8670, 0.0000 ] ,
  [ 8.0787, 0.0000 ] ,
  [ 27.4918, 4.1936 ] ,
  [ 24.3623, 1.9925 ] ,
  [ 12.8883, 0.0000 ] ,
  [ 21.4341, 2.5352 ] ,
  [ 11.9526, 0.0000 ] ,
  [ 9.4321, 0.0000 ] ,
  [ 8.4898, 0.0000 ] ]
10000	-59.64387	0	-59.64387	[ [ 10.3060, 9.9161 ] ,
  [ 3.4391, 0.0000 ] ,
  [ 11.1320, 0.0000 ] ,
  [ 4.1390, 1.0574 ] ,
  [ 12.7825, 0.0000 ] ,
  [ 2.7375, 0.0000 ] ,
  [ 5.0913, 4.4386 ] ,
  [ 1.5432, 0.0000 ] ,
  [ 4.2422, 0.0000 ] ,
  [ 12.0621, 9.6736 ] ,
  [ 3.3787, 2.2649 ] ,
  [ 3.6352, 0.0000 ] ,
  [ 3.9151, 0.0000 ] ,
  [ 11.2727, 1.8314 ] ,
  [ 10.0405, 2.9769 ] ,
  [ 3.0971, 0.0000 ] ,
  [ 8.5514, 0.7916 ] ,
  [ 5.3958, 0.0000 ] ,
  [ 6.2276, 0.0000 ] ,
  [ 1.4084, 0.0000 ] ]
20000	-63.61474	0	-63.61474	[ [ 14.5380, 10.7413 ] ,
  [ 3.9083, 0.0000 ] ,
  [ 5.8244, 0.0000 ] ,
  [ 8.5737, 2.8026 ] ,
  [ 7.2305, 0.0000 ] ,
  [ 1.1076, 0.0000 ] ,
  [ 4.6189, 1.4021 ] ,
  [ 3.0455, 0.0000 ] ,
  [ 0.3059, 0.0000 ] ,
  [ 13.5635, 10.1773 ] ,
  [ 4.8098, 3.8644 ] ,
  [ 4.9963, 0.0000 ] ,
  [ 1.8442, 0.0000 ] ,
  [ 11.2557, 2.8694 ] ,
  [ 10.8857, 4.4644 ] ,
  [ 3.9539, 0.0000 ] ,
  [ 8.7616, 2.8702 ] ,
