Iteration	Posterior	Likelihood	Prior	bd
0	-109.2403	0	-109.2403	[ [ 6.8580, 0.0000 ] ,
  [ 9.3596, 0.0000 ] ,
  [ 2.6732, 0.0000 ] ,
  [ 8.7138, 0.0000 ] ,
  [ 8.2957, 3.1558 ] ,
  [ 8.8649, 0.0000 ] ,
  [ 10.6483, 0.0000 ] ,
  [ 14.1479, 0.0000 ] ,
  [ 9.1910, 1.2987 ] ,
  [ 6.8982, 0.0000 ] ,
  [ 8.6911, 0.0000 ] ]
10000	-22.15765	0	-22.15765	[ [ 3.4095, 0.0000 ] ,
  [ 3.3949, 0.0000 ] ,
  [ 1.0717, 0.0000 ] ,
  [ 3.4162, 0.0000 ] ,
  [ 3.6319, 2.2777 ] ,
  [ 3.2597, 0.0000 ] ,
  [ 5.0511, 0.0000 ] ,
  [ 5.5212, 0.0000 ] ,
  [ 4.0624, 2.8971 ] ,
  [ 2.9020, 0.0000 ] ,
  [ 3.3274, 0.0000 ] ]
20000	-27.463	0	-27.463	[ [ 3.1491, 0.0000 ] ,
  [ 3.2141, 0.0000 ] ,
  [ 2.6727, 0.0000 ] ,
  [ 3.6924, 0.0000 ] ,
  [ 4.6772, 1.7526 ] ,
  [ 3.2847, 0.0000 ] ,
  [ 2.8748, 0.0000 ] ,
  [ 6.6771, 0.0000 ] ,
  [ 5.2199, 0.9480 ] ,
  [ 10.5103, 0.0000 ] ,
  [ 3.6230, 0.0000 ] ]
30000	-35.06038	0	-35.06038	[ [ 4.4122, 0.0000 ] ,
  [ 3.1241, 0.0000 ] ,
  [ 2.3208, 0.0000 ] ,
  [ 5.8000, 0.0000 ] ,
  [ 4.0382, 0.5491 ] ,
  [ 2.6742, 0.0000 ] ,
  [ 4.2955, 0.0000 ] ,
  [ 5.2756, 0.0000 ] ,
  [ 3.4367, 3.2303 ] ,
  [ 7.9890, 0.0000 ] ,
  [ 4.3643, 0.0000 ] ]
40000	-27.36127	0	-27.36127	[ [ 5.4597, 0.0000 ] ,
  [ 3.5111, 0.0000 ] ,
  [ 3.1333, 0.0000 ] ,
  [ 3.8334, 0.0000 ] ,
  [ 4.8786, 2.3295 ] ,
  [ 3.6269, 0.0000 ] ,
  [ 6.5444, 0.0000 ] ,
  [ 6.1340, 0.0000 ] ,
  [ 3.0588, 2.6570 ] ,
  [ 2.9589, 0.0000 ] ,
  [ 4.3854, 0.0000 ] ]
50000	-17.41302	0	-17.41302	[ [ 3.3079, 0.0000 ] ,
  [ 3.0524, 0.0000 ] ,
  [ 2.6456, 0.0000 ] ,
  [ 3.4245, 0.0000 ] ,
  [ 3.5743, 2.6132 ] ,
  [ 3.0025, 0.0000 ] ,
  [ 2.8164, 0.0000 ] ,
  [ 5.5737, 0.0000 ] ,
  [ 3.4245, 0.9929 ] ,
  [ 3.9669, 0.0000 ] ,
  [ 2.8098, 0.0000 ] ]
60000	-24.83095	0	-24.83095	[ [ 3.1874, 0.0000 ] ,
  [ 3.1492, 0.0000 ] ,
  [ 3.0867, 0.0000 ] ,
  [ 2.7607, 0.0000 ] ,
  [ 4.9778, 3.3193 ] ,
  [ 4.5121, 0.0000 ] ,
  [ 3.1950, 0.0000 ] ,
  [ 7.4012, 0.0000 ] ,
  [ 4.2272, 3.4470 ] ,
  [ 2.8501, 0.0000 ] ,
  [ 4.3988, 0.0000 ] ]
70000	-29.8236	0	-29.8236	[ [ 4.6921, 0.0000 ] ,
  [ 2.5962, 0.0000 ] ,
  [ 0.7663, 0.0000 ] ,
  [ 4.9375, 0.0000 ] ,
  [ 2.9298, 0.6623 ] ,
  [ 2.8313, 0.0000 ] ,
  [ 4.5057, 0.0000 ] ,
  [ 6.5053, 0.0000 ] ,
  [ 4.8017, 0.7291 ] ,
  [ 5.1943, 0.0000 ] ,
  [ 3.7588, 0.0000 ] ]
80000	-22.19428	0	-22.19428	[ [ 4.4147, 0.0000 ] ,
  [ 4.1147, 0.0000 ] ,
  [ 2.6251, 0.0000 ] ,
  [ 3.0051, 0.0000 ] ,
  [ 7.0161, 3.1617 ] ,
  [ 3.4575, 0.0000 ] ,
  [ 4.6356, 0.0000 ] ,
  [ 6.0523, 0.0000 ] ,
  [ 3.0078, 2.5197 ] ,
  [ 2.8173, 0.0000 ] ,
  [ 3.2354, 0.0000 ] ]
90000	-27.33782	0	-27.33782	[ [ 2.8276, 0.0000 ] ,
  [ 5.7677, 0.0000 ] ,
  [ 1.7188, 0.0000 ] ,
  [ 2.7513, 0.0000 ] ,
  [ 3.3055, 0.8335 ] ,
  [ 3.6513, 0.0000 ] ,
  [ 4.4436, 0.0000 ] ,
  [ 7.3355, 0.0000 ] ,
  [ 4.6832, 1.8632 ] ,
  [ 3.6570, 0.0000 ] ,
  [ 2.4244, 0.0000 ] ]
100000	-43.77479	0	-43.77479	[ [ 2.5779, 0.0000 ] ,
  [ 8.6058, 0.0000 ] ,
  [ 2.9010, 0.0000 ] ,
  [ 7.7846, 0.0000 ] ,
  [ 2.8174, 0.0179 ] ,
  [ 4.0579, 0.0000 ] ,
  [ 6.3998, 0.0000 ] ,
  [ 11.8699, 0.0000 ] ,
  [ 10.0729, 2.0165 ] ,
  [ 5.8217, 0.0000 ] ,
  [ 10.5146, 0.0000 ] ]
110000	-29.27647	0	-29.27647	[ [ 2.6766, 0.0000 ] ,
  [ 6.2890, 0.0000 ] ,
  [ 3.2599, 0.0000 ] ,
  [ 7.9388, 0.0000 ] ,
  [ 4.6299, 0.2162 ] ,
  [ 2.6666, 0.0000 ] ,
  [ 2.9934, 0.0000 ] ,
  [ 5.6190, 0.0000 ] ,
  [ 3.8662, 1.5131 ] ,
  [ 2.9326, 0.0000 ] ,
  [ 2.9400, 0.0000 ] ]
120000	-29.99677	0	-29.99677	[ [ 2.9187, 0.0000 ] ,
  [ 4.8348, 0.0000 ] ,
  [ 1.5898, 0.0000 ] ,
  [ 5.4758, 0.0000 ] ,
  [ 4.9625, 4.1124 ] ,
  [ 4.6552, 0.0000 ] ,
  [ 4.6618, 0.0000 ] ,
  [ 6.8783, 0.0000 ] ,
  [ 4.6334, 1.7356 ] ,
  [ 6.8970, 0.0000 ] ,
  [ 4.3610, 0.0000 ] ]
130000	-31.42845	0	-31.42845	[ [ 3.1872, 0.0000 ] ,
  [ 5.1312, 0.0000 ] ,
  [ 2.3081, 0.0000 ] ,
  [ 4.2824, 0.0000 ] ,
  [ 4.2047, 1.6839 ] ,
  [ 4.2089, 0.0000 ] ,
  [ 4.0489, 0.0000 ] ,
  [ 5.2563, 0.0000 ] ,
  [ 3.2945, 0.4646 ] ,
  [ 3.8969, 0.0000 ] ,
  [ 2.5906, 0.0000 ] ]
140000	-21.67961	0	-21.67961	[ [ 2.8260, 0.0000 ] ,
  [ 4.2450, 0.0000 ] ,
  [ 0.7665, 0.0000 ] ,
  [ 2.9044, 0.0000 ] ,
  [ 4.3494, 0.6940 ] ,
  [ 3.0762, 0.0000 ] ,
  [ 4.0792, 0.0000 ] ,
  [ 6.4060, 0.0000 ] ,
  [ 3.2328, 2.2505 ] ,
  [ 3.3038, 0.0000 ] ,
  [ 3.0332, 0.0000 ] ]
150000	-31.94366	0	-31.94366	[ [ 4.5747, 0.0000 ] ,
  [ 5.0265, 0.0000 ] ,
