Iteration	Posterior	Likelihood	Prior	bd
0	-204.5137	0	-204.5137	[ [ 22.5725, 0.0000 ] ,
  [ 11.3273, 0.5950 ] ,
  [ 19.1341, 1.8549 ] ,
  [ 13.9315, 1.9618 ] ,
  [ 10.2143, 0.0000 ] ,
  [ 19.6781, 0.0000 ] ,
  [ 15.7799, 5.4079 ] ,
  [ 19.2046, 0.0000 ] ,
  [ 12.2119, 0.0000 ] ,
  [ 4.9239, 0.0000 ] ,
  [ 12.2038, 0.0000 ] ,
  [ 17.4496, 0.0000 ] ]
10000	-45.23936	0	-45.23936	[ [ 7.7655, 0.0000 ] ,
  [ 4.2194, 3.7863 ] ,
  [ 6.2612, 3.2617 ] ,
  [ 4.1764, 0.6944 ] ,
  [ 2.6045, 0.0000 ] ,
  [ 8.6750, 0.0000 ] ,
  [ 9.3569, 7.6889 ] ,
  [ 8.7851, 0.0000 ] ,
  [ 7.1545, 0.0000 ] ,
  [ 1.9725, 0.0000 ] ,
  [ 7.7061, 0.0000 ] ,
  [ 4.6555, 0.0000 ] ]
20000	-36.38181	0	-36.38181	[ [ 9.5857, 0.0000 ] ,
  [ 5.4804, 4.0100 ] ,
  [ 6.7600, 5.5082 ] ,
  [ 3.9170, 1.3569 ] ,
  [ 2.1443, 0.0000 ] ,
  [ 7.6968, 0.0000 ] ,
  [ 9.7693, 7.5944 ] ,
  [ 9.6268, 0.0000 ] ,
  [ 4.1380, 0.0000 ] ,
  [ 3.8036, 0.0000 ] ,
  [ 3.8218, 0.0000 ] ,
  [ 4.9256, 0.0000 ] ]
30000	-45.44839	0	-45.44839	[ [ 8.4055, 0.0000 ] ,
  [ 4.3314, 1.3782 ] ,
  [ 7.6446, 5.3905 ] ,
  [ 3.0740, 1.8154 ] ,
  [ 5.6178, 0.0000 ] ,
  [ 8.3500, 0.0000 ] ,
  [ 8.3553, 7.5832 ] ,
  [ 11.4342, 0.0000 ] ,
  [ 6.1665, 0.0000 ] ,
  [ 7.1482, 0.0000 ] ,
  [ 5.0598, 0.0000 ] ,
  [ 5.4918, 0.0000 ] ]
40000	-42.52859	0	-42.52859	[ [ 9.8682, 0.0000 ] ,
  [ 6.0314, 5.0249 ] ,
  [ 4.3727, 3.9937 ] ,
  [ 3.3718, 0.6729 ] ,
  [ 3.8204, 0.0000 ] ,
  [ 8.2823, 0.0000 ] ,
  [ 9.3961, 7.7757 ] ,
  [ 8.5474, 0.0000 ] ,
  [ 7.7447, 0.0000 ] ,
  [ 3.8631, 0.0000 ] ,
  [ 8.2370, 0.0000 ] ,
  [ 5.8938, 0.0000 ] ]
50000	-43.86279	0	-43.86279	[ [ 8.9030, 0.0000 ] ,
  [ 7.2151, 5.6887 ] ,
  [ 4.4928, 2.2303 ] ,
  [ 3.2002, 1.3094 ] ,
  [ 4.3415, 0.0000 ] ,
  [ 9.5187, 0.0000 ] ,
  [ 10.5068, 8.2595 ] ,
  [ 11.1370, 0.0000 ] ,
  [ 6.0093, 0.0000 ] ,
  [ 2.3906, 0.0000 ] ,
  [ 8.4260, 0.0000 ] ,
  [ 6.5618, 0.0000 ] ]
60000	-49.2627	0	-49.2627	[ [ 8.9497, 0.0000 ] ,
  [ 6.2594, 3.6682 ] ,
  [ 7.3339, 6.8976 ] ,
  [ 4.4945, 2.1600 ] ,
  [ 0.3016, 0.0000 ] ,
  [ 12.4291, 0.0000 ] ,
  [ 10.0760, 7.6947 ] ,
  [ 7.6159, 0.0000 ] ,
  [ 6.1570, 0.0000 ] ,
  [ 4.9148, 0.0000 ] ,
  [ 4.7821, 0.0000 ] ,
  [ 5.8178, 0.0000 ] ]
70000	-42.21823	0	-42.21823	[ [ 7.6407, 0.0000 ] ,
  [ 7.4853, 6.2143 ] ,
  [ 7.7166, 4.3685 ] ,
  [ 3.4069, 1.0201 ] ,
  [ 3.3459, 0.0000 ] ,
  [ 10.9765, 0.0000 ] ,
  [ 9.0824, 6.9219 ] ,
  [ 8.5721, 0.0000 ] ,
  [ 5.3826, 0.0000 ] ,
