Iteration	Posterior	Likelihood	Prior	bd
0	-82.65574	0	-82.65574	[ [ 19.6746, 0.0000 ] ,
  [ 3.8720, 0.0000 ] ,
  [ 7.0011, 0.0000 ] ,
  [ 4.7046, 0.0000 ] ,
  [ 7.1248, 0.0000 ] ,
  [ 11.1172, 0.0000 ] ,
  [ 18.8086, 0.0000 ] ,
  [ 14.2301, 0.0000 ] ,
  [ 11.5654, 2.2588 ] ,
  [ 10.5550, 3.6255 ] ,
  [ 9.0187, 0.0000 ] ]
10000	-26.55479	0	-26.55479	[ [ 7.6433, 0.0000 ] ,
  [ 2.6793, 0.0000 ] ,
  [ 3.3994, 0.0000 ] ,
  [ 4.1179, 0.0000 ] ,
  [ 2.2751, 0.0000 ] ,
  [ 5.3110, 0.0000 ] ,
  [ 7.4125, 0.0000 ] ,
  [ 4.5890, 0.0000 ] ,
  [ 3.3358, 3.0438 ] ,
  [ 6.5136, 2.8261 ] ,
  [ 5.3470, 0.0000 ] ]
20000	-26.23598	0	-26.23598	[ [ 8.5441, 0.0000 ] ,
  [ 4.9756, 0.0000 ] ,
  [ 6.2141, 0.0000 ] ,
  [ 2.5085, 0.0000 ] ,
  [ 2.9496, 0.0000 ] ,
  [ 1.1879, 0.0000 ] ,
  [ 6.9724, 0.0000 ] ,
  [ 5.5267, 0.0000 ] ,
  [ 1.3931, 0.6492 ] ,
  [ 7.4913, 4.9570 ] ,
  [ 3.9710, 0.0000 ] ]
30000	-28.20252	0	-28.20252	[ [ 10.0935, 0.0000 ] ,
  [ 1.3416, 0.0000 ] ,
  [ 0.3521, 0.0000 ] ,
  [ 0.2538, 0.0000 ] ,
  [ 1.6969, 0.0000 ] ,
  [ 5.3335, 0.0000 ] ,
  [ 8.8439, 0.0000 ] ,
  [ 6.1831, 0.0000 ] ,
  [ 3.2045, 0.5402 ] ,
  [ 4.5306, 4.3770 ] ,
  [ 5.7812, 0.0000 ] ]
40000	-20.94306	0	-20.94306	[ [ 10.3727, 0.0000 ] ,
  [ 1.3250, 0.0000 ] ,
  [ 2.0569, 0.0000 ] ,
  [ 2.2109, 0.0000 ] ,
  [ 2.3283, 0.0000 ] ,
  [ 0.6701, 0.0000 ] ,
  [ 10.9343, 0.0000 ] ,
  [ 5.0971, 0.0000 ] ,
  [ 3.2127, 1.7784 ] ,
  [ 5.0980, 3.4580 ] ,
  [ 4.1236, 0.0000 ] ]
50000	-29.04851	0	-29.04851	[ [ 9.3723, 0.0000 ] ,
  [ 0.9312, 0.0000 ] ,
  [ 0.5376, 0.0000 ] ,
  [ 0.5004, 0.0000 ] ,
  [ 5.6828, 0.0000 ] ,
  [ 2.8956, 0.0000 ] ,
  [ 11.6823, 0.0000 ] ,
  [ 7.6287, 0.0000 ] ,
  [ 2.2469, 1.1274 ] ,
  [ 6.4760, 4.0469 ] ,
  [ 5.8828, 0.0000 ] ]
60000	-23.13426	0	-23.13426	[ [ 7.0980, 0.0000 ] ,
  [ 3.7630, 0.0000 ] ,
  [ 3.4627, 0.0000 ] ,
  [ 0.6975, 0.0000 ] ,
  [ 3.9487, 0.0000 ] ,
  [ 1.7737, 0.0000 ] ,
  [ 10.1056, 0.0000 ] ,
  [ 5.3037, 0.0000 ] ,
  [ 2.6739, 1.1933 ] ,
  [ 4.9996, 3.7734 ] ,
  [ 3.7131, 0.0000 ] ]
70000	-32.77572	0	-32.77572	[ [ 8.4193, 0.0000 ] ,
  [ 3.6015, 0.0000 ] ,
  [ 6.0038, 0.0000 ] ,
  [ 4.9133, 0.0000 ] ,
